,Key,Title,Description,CategoryGroupID
60,CRI5200,52 Rijden onder invloed,Verkeersmisdrijf omschreven in artikel 8 Wegenverkeerswet.,6
61,CRI5300,53 Rijden tijdens ontzegging besturen,Verkeersmisdrijf omschreven in artikel 9 Wegenverkeerswet.,6
62,CRI5400,54 Rijden tijdens rijverbod,Verkeersmisdrijf omschreven in artikel 162 Wegenverkeerswet.,6
63,CRI5500,55 Voeren vals kenteken,Verkeersmisdrijf omschreven in artikel 41 Wegenverkeerswet.,6
64,CRI5600,56 Joyriding,Verkeersmisdrijf omschreven in artikel 11 Wegenverkeerswet.,6
65,CRI5700,57 Weigeren blaastest/bloedonderzoek ed,Verkeersmisdrijf omschreven in artikel 163 Wegenverkeerswet.,6
66,CRI5800,58 Verkeersmisdrijf (overig),"Verkeersmisdrijf omschreven in artikel 6, 51, 61, 74, 114, 138 Wegenverkeerswet.",6
67,CRI6000,6 Drugsmisdrijven,"De Opiumwet regelt de opsporing, vervolging en berechting van handelingen die te maken hebben met (verboden) drugsbezit en drugshandel. De wet maakt onderscheid tussen misdrijven en overtredingen. Op grond van de Opiumwet geldt een verbod op het bereiden, bewerken, Verwerken, verkopen, afleveren, verstrekken, vervoeren of aanwezig hebben van middelen die genoemd worden op de zogeheten lijst I (harddrugs) en lijst II (softdrugs). Voorbeelden van de hier bedoelde stoffen zijn cocaïne, heroïne, methadon, morfine, opium en hennep. De in deze tabel gepresenteerde cijfers hebben uitsluitend betrekking op misdrijven.",7
68,CRI6100,61 Harddrugs,Drugsmisdrijf omschreven in artikel 2 Opiumwet.,7
69,CRI6200,62 Softdrugs,Drugsmisdrijf omschreven in artikel 3 Opiumwet.,7
70,CRI6300,6.3 Drugsmisdrijf (overig),"""NA""",7
71,CRI7000,7 Vuurwapenmisdrijven,"Misdrijf omschreven in artikel 55 Wet Wapens en Munitie. De Wet Wapens en Munitie regelt de opsporing, vervolging en berechting van handelingen die te maken hebben met (verboden) wapenbezit en wapenhandel.",8
72,CRI9000,9 Misdrijven overige wetten,"Alle misdrijven omschreven in wetten, niet zijnde het Wetboek van Strafrecht, de Wegenverkeerswet, de Opiumwet of de Wet Wapens en
Munitie.",9
73,CRI9100,91 Militaire misdrijven,Misdrijf omschreven in artikel 96-166 Wetboek van Militair Strafrecht.,9
74,CRI9200,92 Misdrijven (overig),"Alle misdrijven omschreven in overige wetten, niet zijnde het Wetboek van Militair Strafrecht.",9
